Aave	449.66	95.95	114.87	61.42	16	721.90
BitCash	205.41	189.23	79.50	576.73	21	1050.87
Cardano	229.61	49.05	34.57	213.11	14	526.34
Chainlink	226.22	325.24	450.10	168.95	20	1170.51
Compound	181.10	187.56	140.99	321.82	16	831.47
Dash	257.03	299.88	483.58	298.87	25	1339.36
Dogecoin	274.39	377.54	183.25	239.78	24	1074.96
Eos	123.59	217.32	106.98	79.34	11	527.23
Etherium	238.84	84.61	242.88	176.70	15	743.03
Iota	293.06	327.09	129.19	210.19	20	959.53
Litecoin	0.00	187.75	111.80	211.57	11	511.12
Monero	53.31	23.24	159.65	234.17	14	470.37
Neo	282.82	299.23	260.97	98.92	16	941.94
Ripple	175.03	259.66	301.09	233.88	15	969.66
Stellar	0.00	212.48	245.01	128.18	11	585.67
Tezos	234.81	285.04	53.08	175.65	18	748.58
Theta	543.15	201.82	260.24	328.10	24	1333.31
Tron	262.23	101.79	157.40	233.42	17	754.84
VeChain	294.16	185.97	42.34	81.61	10	604.08
Zcash	108.46	222.12	59.36	129.99	11	519.93
